author_name,author_from,comment_title,comment_body,comment_date
Kaio S,,Parque tranquilo e lindo,"Vale a pena passar por lá. Indo com amigos ou sozinho leve alguma coisa pra comer e relaxar um pouco, olhar as pessoas ou até mesmo praticar alguma atividade física se você gosta.", julho de 2017
Soniaament2014,"São Caetano do Sul, SP",Apreciando a natureza.,"O parque barigui é um excelente passeio em curitiba, muito frequentado pelos curitibanos e tambem por turista, é possivel passear, fazer pic nic, churrasco, praticar atividades esportivas, andar de bicicleta, ou simplesmente apreciar o bele lago la existente. No parque voce aind", junho de 2017
Mara,"Curitiba, PR",Um paraíso!!,"Adoro visitar o Barigui, temos muitos parques em Curitiba, 12 se não me engano, mas o meu preferido é o Barigui! A área é enorme e é possível fazer exercícios físicos, correr, caminhar ou apenas relaxar na grama apreciando a linda vista do lago!  Um excelente local pra fazer um", julho de 2017
Ederctba,"Curitiba, PR",O local para pratica de esportes...,"Parque com uma estrutura para todos os gostos esportivos caminhada, corridas, bicicletas, quadras diversas, um ambiente para família com churrasqueiras ao ar livre, um dos points dos finais de semana para todos os públicos, super indicado nota 10...", julho de 2017
Rosangela S,,Espaço-parque lindo e alegre!,"Adoro passear no final da tarde para fazer caminhada.Já participei de uma prática de yoga, lugar que permite a internalização e a meditação.", outubro de 2016
alexandremurbach1978,"Curitiba, PR",Atividade física,"Excelente local pra fazer caminhada, pedalada, corrida e outras atividades físicas. Também pra realizar atividades em família", julho de 2017
suelicra,"Curitiba, PR",Ótimo Passeio.,"O parque é maravilhoso, tanto para praticar esportes, quanto para passear.A paisagem é muito bonita, é bem cuidado e seguro.", maio de 2017
Rodrigo A,,Melhor parque da cidade,Parque super lindo. Plano. A pista de corrida é a minha favorita da cidade. Tem um lago no meio. Fácil de estacionar. Evite ir domingo a tarde. , julho de 2017
Mariluz S,"Porto Alegre, RS",Local tranquilo!,"O parque tem grande extensão e é muito rico em vegetação e animais e tem boa infra estrutura para quem lá frequenta. Fomos somente para conhecer rapidamente, mas nesta hora que passamos por lá já nos deparamos com uma simpática capivara tranquilamente deitada na grama tomando", junho de 2017
Keila B,,Inspiração,"Ligar inspirador, limpo, belo e remontoco. Um dos melhores passeios a se fazer em Curitiba, tanto em família quanto com amigos.", junho de 2017
78ronny,"Itapema, SC",SAUDE E AVENTURA RADICAL,"Um lugar maravilhoso onde se pode unir a tranquilidade de se estar no meio da natureza, fazer exercícios, caminhadas em meio a lago e mata e para completar com chave de ouro, ali tem um heliponto onde se pode fazer passeios de helicóptero sobre a capital paranaense e ver de cima", maio de 2017
André Carlos Novak,"Curitiba, PR",Ótimo para caminhadas!,"Se você gosta de levantar cedo e fazer exercícios, este parque é excelente!!! Ótimo para caminhadas em torno do lago! Cuidado com horários de pouco movimento!", março de 2017
José S,,Passeio,"O parque mais famoso e visitado de Curitiba, antes havia muitas exposições, feiras e afins, mas vale a visita.", agosto de 2016
Anelise C,"Vitória, ES",Ótimo pra passar uma tarde,"O parque é ótimo pra fazer caminhadas, recomendo para quem gosta de tranquilidade e contato com a natureza. Há um restaurante que fica num deck localizado na lagoa, a comida é boa e num bom preço (bebidas tem um preço elevado). Muitos patos, peixes enormes de tanta comida que os", julho de 2017
lilianlst,"Curitiba, PR",Parque Barigui,"Ótimo lugar para caminhar em contato com a natureza. Nos finais de semana a frequência do parque aumenta bastante e é comum ver famílias com crianças, pessoas que gostam de caminhar ou correr e também aqueles que visitam feiras que acontecem no pavilhão de exposições do parque.", junho de 2017
paulo c,"Curitiba, PR",parque barigui,"as pistas de caminhada, bike e corrida, estão bem sinalizadas, porem as [pessoas não respeitam estas opções  e caminham onde devem correr, ou nas pistas de bike, em grupo que dificulta sua opção de lazer. depois enaltecem estas opções em outros países onde este tipo de atitude é", junho de 2017
GILBERTO J,"Curitiba, PR",Lugar bem agradável,Este parque é um dos melhores da cidade. Bom para caminhar e descansar. Bastante movimentado nos finais de semana. Falta mais espaço para estacionamento., junho de 2017
Dirceporai,"Curitiba, PR",Uma tarde para relaxar,"Local descontraído em meio a natureza para atividades esportivas, de lazer ou para curtir um fim de tarde em companhia de amigos.", janeiro de 2017
Katia Z,,passeio,delicioso para caminhar. Lugar lindo para sentar e apreciar o lago e a natureza e os entornos de Curitiba, julho de 2017
Santiago M,"Curitiba, PR",O Pq. Ibirapuera de Curitiba,"Um lugar especial que proporciona atividades esportivas(aluguel de Bike, pistas de Caminhada e Corrida, aparelhos de Ginástica, Musculação e Alongamento, Slackline, Roller, Quadras esportivas, etc), Lazer(Churrasqueira, Aeromodelismo, etc), Gastronomia(Bistrô, Lanchonetes  e", julho de 2017
Adilson2110,"Vinhedo, SP",Para se exercitar,"um dos maiores (se não o maior) parque da cidade. Bom para caminhada... Onde os ""locais"" vão fazer seus exercícios. Se possível, evite finais de semana quando fica difícil de estacionar.", julho de 2017
Bruno Gambini,,Melhor parque de Curitiba!,"Para mim, o melhor da cidade! Ideal para um passeio ou para práticas esportivas. Quanto a esse último item, o parque é bem sinalizado, com faixas separadas e indicadas para bicicletas, corrida ou caminhada. No parque estão as famosas capivaras, que rendem ótimas fotos (embora", julho de 2017
Elizette J,"Florianópolis, SC",Tranquilidade,Excelente. Lugar bem cuidado e bem organizado. De fácil acesso e estacionamento. Permite bons momentos de descanso e lazer. , julho de 2017
Claudia S,,Agradável e muito limpo,"Parque bem grande e muito limpo, com enorme lago e só....nada de diferente e inusitado, bom pra exercícios ", julho de 2017
Fernanda L,"Recife, PE",PARQUE BONITO!,"Esse parqie é enorme! Tem que ser reservados algumas horas para conhecer!  O parque é muito bonito e arrumado. Perto de lá tem o museu do automóvel, que também é muito interessante.", junho de 2017
PaulaEscudeiro,,Nada de especial,Parque comum com um lago com patos. Não vi nada de muito especial. Nem tem um aluguel de bicicleta ou um parquinho para as crianças. Bom para quem gosta de se exercitar fazendo caminhadas ou corridas porque é tudo plano., junho de 2017
Carlos O,"Curitiba, PR",A praia do curitibano,"Sou meio suspeito para falar pois morei num daqueles predios com a coluna vermelha que aparecem ao fundo, e tive o parque como quintal do meu filho mais velho! Um lugar para todas as tribos: esportistas, mães e bebês, passeadores de domingo, enfim, um espaço democrático, como", junho de 2017
Sandra M,"Lages, SC",Lindo ,"Um parque lindo e extremamente limpo. Opção para todos os gostos. Tanto para quem quer se exercitar quanto para fazer um piquenique. As aves e as capivaras são companhias constantes. Além é claro, dos inúmeros cachorros acompanhados dos seus donos que circulam por lá. Muitas", julho de 2017
Rafael P,"Rio de Janeiro, RJ",Um dos lugares mais lindos de Curitiba,"Sim, isso mesmo, um dos lugares mais lindos da cidade! Um parque com muito verde, vida silvestre (fácil ver pássaros e gaviões!), famílias e amigos. O final de tarde é excepcionalmente agradável, mesmo no inverno. ", junho de 2017
Sis_Soares,"São Luís, Maranhao, Brazil",Melhor lugar para passar seu fim de tarde,"Um dos lugares mais gostosos em Curitiba para assistir o por do sol, seja com a família, com o amor ou sozinho é um passeio muito legal!!", junho de 2017
Cibele R,"Curitiba, PR",O Parque de Curitiba,"Meu lugar preferido em Curitiba  para passear, fazer exercícios, curtir o sol e a natureza. Gente bonita de todas as idades, clima alegre e descontraído. Natureza exuberante, várias paisagens num só lugar. Espaço para todas as tribos. Bem cuidado. Cheio de Charme. Imperdível a", julho de 2017
alepissetti,"Curitiba, PR",Amo,"Sempre vou ao Barigui nos meus finais de semana. Excelente local para realizar atividades físicas, levar a família, crianças, fazer um pique-nique, etc.", julho de 2017
allanjsvieira,"Marataízes, ES",excelente,"Experiencia maravilhosa, lugar divino, lindo, as fotos ficam maravilhosas, vale a pena andar e conhecer. ", janeiro de 2017
Marcelo Gomes de Moraes,"Piracicaba, SP",Verde e nada mais,"Bonito parque, porém existem outros lugares em Curitiba com mais atrativos. Se estiver por perto, vale uma parada.", janeiro de 2017
Paula L,,Bonito,"Muito bom para caminhar, fazer piquenique, ginastica, passeios com caes,  curtir a natureza. Ambiente agradavel ", julho de 2017
Schinemann,"Curitiba, PR","Parque, pista, jardim... Tudo junto, em Curitiba!","1. Parque belíssimo, além de tradicional na cidade de Curitiba, fica já BR 277 - na saída para Guarapuava. 2. Tem muitas opções: quadras, pistas, lago,bichos, mata,  ... , e ainda um grandioso pavilhão de eventos, no meio do Parque. 3. Vale a pena passear, se divertir por lá!", maio de 2017
Kelly B,,Lindo,"lugar muito lindo, cheio de arvores e um lago enorme,  imagino que para quem mora na cidade seja o melhor lugar para pratica de esportes. ", junho de 2017
Andrea T,"Maricá, Rio de Janeiro, Brazil",ótimo,"Já havia visitado o Parque, mas dessa vez pude levar minha mãe para visitar Curitiba e visitar os pontos turísticos que mais gostei e o Barigui, foi um deles.  ótimo passeio, lindas fotos de recordação .", abril de 2017
Joao Kleber L,"Salvador, BA",Muito agradável,"Parque conta com um salão de exposições imenso, lagos, pista de cooper, bike etc. Possui alguns restaurantes, sorveteria.  Muito tranquilo para passear com a família e animais de estimação.", junho de 2017
docarvalho,"Marechal Cândido Rondon, PR",O melhor da cidade,"Parque com lago, pavilhão de eventos, bela paisagem, ciclovia e pista de caminhada separados. Fica na saída para Ponta Grossa, ao lado da estrada.", junho de 2017
Fernando T,,Ao ar livre é melhor ainda!,"Eu e minha esposa fazemos personal em estúdio, porém fomos convidados para fazer as atividades ao ar livre, es que escolhemos o Parque Barigui, próximo de nossa residência. Foi sensacional, lugar maravilhoso, povo lindo, muito espaço para andar, correr e praticam exercícios.", junho de 2017
luizhypolito,"Curitiba, Brasil","UM BELO LUGAR, MAS...","O parque Barigui foi uma excelente opção de lazer nos idos tempos onde se podia passear com a família, ter bons momentos de relaxamento e distração. Hoje, convivemos baderneiros,  com som alto, com assaltos constantes dentre outras situações negativas que se pode observar quando", abril de 2017
Mauro S,"Curitiba, PR","Parque enorme, bonito e muito legal.",O parque é gigante mas aos finais de semana enche bastante. Para quem gosta de fazer exercícios é bom demais também., julho de 2016
Simara Silva,,O melhor parque da cidade,"Na minha opinião o melhor parque da cidade, uma vez que é muito grande e isso propicia uma gama enorme de utilizações: praticar exercícios os mais variados, estacionamento enorme, fácil acesso,  restaurante, bar, área para piquenique, espaço para brincar com seu pet, contato", abril de 2017
Rogério M,"São Paulo, SP",Meu parque favorito em curitiba,"Morei 4 anos em Curitiba, e mais de dois anos em uma casa de frente para o parque. O parque é muito bem cuidado, pista de caminhada, lago bonito, espaço para andar no bosque com uma pequena trilha, nos fins de semana bastante opções de quitutes. Vale muito a pena.", maio de 2017
Karlos S,"Curitiba, PR",Exercitar e happy hour,"O lugar é muito bonito pra qualquer dia da semana, mas para quem gosta de movimento sabado e domingo (manha e tarde) são ideais. Tem varios quiosques durante a extensão de 5 km. Claro que é muito melhor com sol. Pra quem vai se exercitar aconselho que tome cuidado se no dia", março de 2017
Mônica C,"Curitiba, PR",Já foi o melhor parque,"Se voce quiser realmente deslumbrar de uma vista linda e um ar puro vá de manha cedo, a tarde aquilo vira um inferno de maconheiros, vc nao consegue respirar ar livre, só tem gente usando droga naquele lugar, levei o namorado da minha irmã que é de outro estado pra conhecer,", março de 2017
AnaAlice,"Curitiba, PR",Um parque agradável ,"O Parque Barigui é um local muito frequentado pelos curitibanos, aos domingos, chegue cedo, pois as filas são enormes, principalmente se tiver sol!! Os curitibanos tem paixão por parques e o Parque Barigui é o mais popular deles!! Durante a semana, é comum encontrar pessoas", junho de 2017
Leticia S,,O melhor parque da região,O Parque Barigui é um lugar imperdível para se conhecer em Curitiba!!!  Fique atendo para encontrar as capivaras e também na possibilidade de andar de bike elétrica., junho de 2017
Alexandre Augus... B,"Foz do Iguaçu, PR",Bonito,"O parque é bonito e agradável. Perto do centro, tem pista para corrida, área para piqueniques em contato com a natureza. Curti!", dezembro de 2016
Fernando Soares,"Cubatão, SP",Bonito...,"Grande parque em Curitiba, muito utilizado para caminhadas e atividades físicas. Diversos animais habitam por ali o que deixa o local ainda mais charmoso!", junho de 2017
guilhermeld,"Santo André, SP",O parque do grande lago,"Diferente dos outros parques, este conta com um grande lago e uma vasta vegetação em volta. Vale a visita.", junho de 2017
LeandroCruzC,"São Paulo, SP",Muitas capivaras,"Talvez as capivaras e os demais animais soltos pelo parque são a grande atração do local. Parque enorme, não deu pra conhecer tudo de uma vez pois cheguei tarde com o ônibus turístico. Bem iluminado, com alguns locais bem legais para se alimentar e pavilhão de exposições.", junho de 2017
Juradilson S,,O parque do curitibano,"É verdade que Curitiba tem muitos parques, mas o barigui é o,parque curitibano. Agradável, perto do centro, com centro de exposições, restaurantes, bares e com churrasqueira pública. No domingo não entra carro e fica mais legal ainda. Dá para correr, andar, brincar com crianças", junho de 2017
Ecave,"Curitiba, PR",Natureza,"Gosto muito desse lugar. Pista para corrida, bike, lugar pra ir sozinho, com amigos, família, etc. Finais de semana é super lotado, faz parte. ", junho de 2017
Fabiele G,,Lugar para relaxar,"É um ótimo lugar para relaxar, brincar com as crianças, praticar esportes, curtir a natureza. Existe locação de bicicleta. É ótimo e grande, excelente para fazer caminhada, andar de bicicleta, patins. ", junho de 2017
EstelaMartins,"Curitiba, PR",Lugar verde em Curitiba,"Lugar lindo cheio de verde, ótimo pra andar de bike,  muita ciclovia. Tem restaurante, muito lugar para picnic, para crianças brincarem. Estacionamento fácil e sem custo. Excelente pedida para passar o dia, e mesmo para fazer um passeio panorâmico de helicóptero.", junho de 2017
MilaSchramm,,Bem conservado,"Vale a pena passar por curitiba e conhecer o parque barigui! Ele é bastante amplo entao talvez n seja possivel conhecer ele todo, mas se estiver com um tempo sobrando, faça um cooper para conhecer melhor! Aos domingos fica cheio de crianças e cachorrinhos soltos! ", abril de 2017
Beto J,"Rio das Ostras, RJ",Sensacional ,"Mais um gigantesco parque dentro da cidade, muito lindo belo e bem cuidado. Fui em um domingo onde as famílias aproveitam o dia para piqueniques,  passeios de bicicleta,  patins e com os cachorros. O lugar e agradável e seguro.", junho de 2017
Edilaine  T,"Rio de Janeiro, RJ",Adorável,"Parque maravilho, imenso, valoriza bem a natureza e ótimo pra relaxar, um programa família e até pratica exercícios..  Ameeei.", dezembro de 2016
WilsonKocis,"Caraguatatuba, SP",ÓTIMO PARA QUEM GOSTA DE PARQUES,Este parque é um local tranquilo e de visual agradável para passar momentos com a família. Recomendo que indo a Curitiba não deixem de visitar., junho de 2017
Kristine Mundy,"Rio de Janeiro, RJ",Aprazível,"O Parque Barigui é simplesmente lindo, arborizado, de uma paz indescritível, de uma beleza admirável, parece estarmos fora da cidade. Imperdível!!! ", junho de 2017
rodrigorct,"Curitiba, PR",Muito bonito,"Parque muito bonito, amplo e ótimo para a prática de esportes. Mas tome cuidado aos domingos, pois o parque enche muito e aparecem também os trombadinhas, que se aproveitam de um segundo de distração, para furtar algo.", dezembro de 2016
Adriano Costa,"Macaé, RJ",Natureza,"Como já havia mencionado nas postagens anteriores, Curitiba da valor a natureza, este local é um excelente parque para praticas de caminhada. Um belo local para piqueniques entre outras atividades.", junho de 2017
Daihane C,"Curitiba, PR",Praia curitibana,"Espaço lindo e organizado, sempre repleto de atletas e famílias a passeio. Em dias de sol pede uma caminhada. Deveria melhorar a estrutura de banheiros públicos.", abril de 2017
Felipe José Bra... F,,Passeio Agradável,"Belo local para aproveitar com as crianças ao ar livre. Fomos em um domingo de sol e temperatura agradável, e o local estava bem cheio.", junho de 2017
Carol Belidio,"Americana, SP",Lindo,"Parque bem grande, com lindas paisagens, ótimo para caminhar, fazer piquenique, ou apenas sentar e observar a paisagem e o por do sol. ", junho de 2017
José Henrique,"Rio de Janeiro, RJ",Natureza e exercícios,"O parque é enorme e tem vários acessos e estacionamentos, parar em um deles é caminhar é um ótimo programa. Caminhar também não é a única opção, bicicletas, patins, skates ou outras formas de locomoção são bem vindas. Há muito espaço livre e a vida selvagem está em destaque,", junho de 2017
Marcio I,"Sao Paulo, Brazil",Vale a visita!!,O passeio ao Parque Barigui em Curitiba não pode faltar nas escolhas de visitações na cidade. Vá com o ônibus turístico., junho de 2017
Tatiana K,,Otimo para caminhada,O Barigui é a um parque bem grande com bastante espaço para caminhada em volta de suas águas. Lá também tem um espaço de Exposições. Só tome cuidado para caminhar nas partes mais afastadas do movimento. Vale muito a pena a visita principalmente nos dias de sol., junho de 2017
JulianaDeSouza,,Visita ao parque ,"Parque amplo e limpo! Delicioso para passar o dia com a família e principalmente com crianças. Tem estacionamento gratuito, com muitas, porém tem guardadores, mas nada que incomode.  Tem restaurantes, porém sem muita opção para vegetarianos.  Vale muito a pena passar algumas", junho de 2017
Thali Primosic,"Guarulhos, SP",Nada de mais,"Parque grande, limpo e silencioso. Há lugar para alugar bicicleta. Tem poucos bancos para descansar e com lama perto(a grama não está adequada e qdo chove faz poça de água). Possui estacionamento grande. ", junho de 2017
Fernando Lippi,"São Paulo, SP",Decepcionante,"O parque está bem localizado e faz parte do roteiro do onibus de turismo. Aproximadamente 15min de carro do Batel. Espaço com pista de caminhada, corrida e bicicleta e afins bem delimitada. Falta bancos para descanso, locais para comer e havia muito barro. Na entrada do parque", junho de 2017
BrunaCarolina1984,,"Lindo, amplo, bom para correr e piquenique","Parque muito grande, limpo, com lago no meio, pista de corrida e ciclovia. Tem uma área de eventos da Renault e no dia havia a feira de malhas e couros. Há alguns restaurates em volta do lago e muitos vendedores ambulantes.", junho de 2017
Jussara S,,Lindo!,"As capivaras são muito fofas. lugar agradável, ótimo para passeio romântico ou em família. Traz muita paz durante a caminhada pelo local.", julho de 2016
Caroline Cavalli,"Belgrado, Sérvia",Otimo para ficar com a familia,"Sabe aquele domingo de sol digno de piquenique com a familia? Entao, o Parque eh o lugar certo para curtir e relaxar.", julho de 2016
anacarolinepl,"Rio de Janeiro, RJ",Parque lindo,"Parque maravilhoso para caminhar, fazer um piquenique, olhar as capivaras, andar de bicicleta, patins, patinete...", junho de 2017
Frederico O,,Bom lugar para passar o dia.,"Essa é uma das ""praias"" do Curitibano. Se o tempo estiver sem chuva já é o suficiente para o parque encher, várias pessoas praticando esportes, corrida, crossfit, futebol americano, patins, etc. O lugar também tem restaurantes, lanchonetes, churrasqueiras, estacionamento, wifi,", junho de 2017
Fabíola,"São José dos Campos, SP",O melhor de Curitiba! ,"O parque barigui é enorme. Os moradores de Curitiba tem o hábito de irem para a prática de esportes. O local conta com ciclofaixas, e o que achei mais interessante, existe faixa diferente para caminhada/corrida. Um belo lugar para passar o final de tarde! ", junho de 2017
Carolina Longaray,"Porto Alegre, RS",Bom lugar para um domingo,"O parque possui uma grande área verde com lagos, bonita vista da cidade e pistas para prática de esportes.", junho de 2017
Leonardo R,,maravilhoso,Tudo muito bem cuidado. A prefeitura de Curitiba está de parabéns pelo cuidado que eles tem com os pontos turísticos. O melhor de tudo é que a maioria ainda é gratuito., maio de 2017
Ricardo G,"Curitiba, PR",OBRIGATÓRIO,"Este parque também como todos da cidade muito bonito. Para os que visitam nossa cidade, com certeza uma parada obrigatória. O parque tem dois extremos em um deles tem uma barzinho muito gostoso, dependendo do clima,rss, é muito gostoso, pois ele fica em cima da água.", maio de 2017
Sampaiodbs,"Florianópolis, SC",Lugar fantástico ,"Curitiba já possui um clima frio que é de apaixonar (para quem gosta). Caminhar, correr ou praticar esportes no friozinho então é uma maravilha! E nesse local você pode fazer tudo isso e mais! Tem centro de eventos bem grande, churrasqueiras, vasto estacionamento, pontes,", junho de 2017
FelipeB,Brasil,Bom!,"Parque Barigui é um lugar com muita área verde, o lago e uma area gigantesca para aproveitamento. Um parque para levar os amigos, a família e quem quiser. Fazer aquela reunião.", agosto de 2016
Susana B,,Amo esse parque,"Acho que é um dos melhores parques de curitiba. Pois é frenquentado por pessoas de todas as idades. Meus filhos adoram. Tem ciclovia. Tem espaço para andar de skate. Fazer trilhas, churrasqueiras, estação de academia, parquinho e muitas capivaras. Domingo é bom ter paciência", junho de 2017
Curitiba pelo Mundo,"Curitiba, PR",Passeio no parque,"Local muito frequentado pelos curitibanos durante a semana e principalmente nos finais de semana. Em dias ensolarados, tanto o nascer quanto o pôr do sol são lindos. O parque possui várias opções para um público bastante eclético.  Há uma pista ao rede do parque com local para", junho de 2017
Ardi21,"Curitiba, PR",Local icônico em Curitiba.,"Cenário maravilhoso, bem cuidado e equipado, muito grande e acolhedor.   Um belo lago, árvores típicas da região, inclusive os imponentes pinheiros araucária.   Boa infraestrutura.  Ao lado, não deixe de visitar o Museu do Automóvel, com veículos antigos muito bem preservados.  ", fevereiro de 2017
EduardoAlexandre,"Curitiba, PR",Lindo!,"O parque é maravilhoso, enorme, excelente lugar pra praticar esportes ou só curtir com a família/amigos. Tem churrasqueiras pra quem quiser, mas tem que chegar cedo pra pegar. Nos finais de semana enche demais, isso é meio chato. Mas vale muito a pena conhecer.", dezembro de 2016
Felipe Marcelo C,,Parque Excepcional!,"Sempre quando pudemos fazemos uma parada no Parque Barigui, pois é um ótimo parque de lazer, muita área verde, o lago, estacionamento amplo, contando com área de exposição gigante.  Um ótimo parque para levar a família, inclusive nossos animais de estimação!  Recomendamos!", abril de 2017
Mirabili1914,,Muito bonito...,"Um lugar muito bonito bem próximo ao centro de Curitiba... Pra quem gosta de caminhar, correr, andar de bicicleta e outras atividades físicas é uma ótima opção... Senti falta de playgrounds para a criançada... Possui um amplo estacionamento pra quem for de carro...  Quem quer", abril de 2017
Fabio Maques,"Curitiba, PR",Ótimo para atividades ao ar livre,"O Parque Barigui é uma das melhores opções para quem quer praticar atividades ao ar livre. Lá você pode encontrar o pessoal do roller, do skate, do futebol americano, de várias modalidades e praticar algumas delas.", janeiro de 2017
Renata G,"Rio de Janeiro, RJ",Caminhadas,Local excelente para caminhadas e descanso! Passei a tarde sentada na grama com 1 livro e foi ótimo!, setembro de 2016
Ana Cristina L,"São Paulo, SP",Fugindo do turismo,"É um parque delicioso porque não possui atrações turísticas. É frequentado principalmente pelos moradores de Curitiba, o que faz com que nos sintamos integrados à essência da cidade. Tem um lindo lago de onde se avista parte da cidade, bairros bem charmosos. Vale a pena gastar", abril de 2017
angelascurupa,"Curitiba, PR",passeio tipico de curitibano,"Esse e um parque muito mas muito curitibano, voce pode dar um longo passeio em volta do parque, pode passear com seu cachorro, fazer uma exercicio fisico, e tambem somente relaxar nos imensos gramados em uma tarde de sol, tem sempre um carrinho de pipoca fresquinha, recomendo ir", maio de 2017
João J,,Bar no deck,Sempre vamos no Barigui para tomar uma cerveja no bar do deck. Lugar muito agradável. Cerveja gelada e boas opções de petiscos., maio de 2017
Sérgio Augusto Souza,"Curitiba, PR",Excelente opção de passeio para relaxar e se exercitar em Curitiba.,"Parque grande, muito bem cuidado, com área verde bem preservada, com várias opções de lazer e espaços para descansar. Ideal para qualquer idade, seja sozinho ou em família. Há quem leve seu vinho e faça um lanche romântico à beira do lago. Um local que realmente vale a pena", maio de 2017
Elisabeth A,"Curitiba, PR",O Parque mais agitado de Curitiba,"Local gostoso para caminhadas, andar de bike ao redor do lago, com academia ao ar livre .Também existe lugar para se fazer trilha pelo bosque, e curtir a vegetação,  respirar ar puro mesmo. Dentro do parque tem churrasqueiras e gramado bom para um pic nic nos dias de sol. Não", janeiro de 2017
j0ycesch,"São Paulo, SP",perfeito,"Lugar perfeito pra correr, andar de bicicleta ou simplesmente passear. É agradável, vale muito a pena!", maio de 2017
Alexiades S,"Curitiba, PR",Ótimo lugar para curtir o dia,"O Barigui é ótimo lugar para quem gosta de esportes, pois o lugar conta com aparelhos para a sua atividade esportiva ao ar livre, conta com 3 pistas sendo uma para corrida, caminhar e bicicleta/ patins. O local tem lanchonetes e para quem quiser até churrasqueiras para", abril de 2017
sonia g,curitiba,Parque muito agradável,"Para fazer seus exercícios, uma boa corrida, passear com o cachorrinho, passear de bicicleta, ou simplesmente ficar apreciando a natureza se fazer nada.", abril de 2017
Paulo M,Curitiba,Um lugar para descanso e para se passar um excelente tempo livre.,"Em dias de sol, ou mesmo nublados, o Parque Barigui traz o melhor dos parques de Curitiba: sossego, contato relaxante com a natureza e um bom tempo de descanso. ", maio de 2017
rafavvp,"Curitiba, PR",Parque Urbano,"Lugar ideal para a prática de esportes como corrida, caminhada, roller, bicicleta, volei de areia. Tem churrasqueiras, lago, gramado. Presença de animais como aves, capivaras e o famoso jacaré", maio de 2017
Claudia S,"Curitiba, PR",Barigui pra todos,"Parque Barigui lugar pra andar, correr, passear de bicicleta ou patins, muito espaço, grama bem cuidada, possibilita pic nics, fora as áreas para churrasco (precisa chegar cedinho para pegar uma), ótimo para caminhadas a qualquer horário, bem iluminado a noite, tem a Guarda", maio de 2017
Nelson C,"Curitiba, Brasil",PASSEIO DE DOMINGO AO AR LIVRE,"Excelente parque que fica lotadíssimo aos domingos, com muita gente bonita. Há local para se degustar um bom chopp. No centro do parque, excelente restaurante para o almoço. Há pista para passear de bicicleta em torno do parque.", maio de 2017
Bia,,O maior parque de Curitiba,"Lugar gostoso para passar uma tarde, pedalar, correr, passear... Em família ou com amigos. As Capivaras dão um toque especial ao lugar!! O Jacaré não é avistado há algum tempo. A noite fica um pouco perigoso, não aconselho passeio solo, é bom estar acompanhado e se precaver.", março de 2017
silvanafamp,"Province of Cordoba, Argentina",Atividades variadas,"Parque agradável para caminhadas, corrida, jogar volei, peteca, pedalar e muito mais... Possui uma boa estrutura e muito espaço.", abril de 2017
Macohin,"Curitiba, PR",Lindo parque de Curitiba,"Um dos parques mais conhecidos e frequentados em Curitiba. Circundando um enorme lago há uma pista para caminhar/correr/patino/bicecletas. Para comodidade dos usuários existem três estacionamentos para carros. Ainda, há um pavilhão de exposições restaurante e lanchonetes. Um", maio de 2017
Claudio Almeida,"Araucária, PR",Ótimo para atividades físicas.,Local lindo e muito bem cuidado. Excelente para a prática de atividades fisicas ou passeios com familiares e amigos em visita à Capital Paranaense. , novembro de 2016
Marlon J,,Parque Barigui,Ótimo lugar para colocar as crianças em contato com a natureza.Grande espaço de mata e grama onde as crianças podem correr e brincar., maio de 2017
murielpa,Curitiba,Parque muito utilizado e visitado por todos que moram ou visitam Curitiba,"Parque de beleza constante e de lazer, possui pontos de vendas de guloseimas e bebidas. Seus banheiros (pagos ou não), são limpos e conservados. Na prática de atividades esportivas, possui pista de caminhadas e corridas, bem como a utilização de bicicletas pela população. Sua", dezembro de 2016
Angela Stefanovic,"Blumenau, SC",Liberdade.,"Lindo espaço para atividades esportivas ,caminhada🚶🏃👣👣🐕🐩🐾🐾, andar de bice🚴, esqueites⛸diversão garantida.", maio de 2017
Rosangela Lima,"Curitiba, PR",Caminhada ,"Ótimo espaço para caminhadas, corridas, ciclismo, picnic, patins. .. Enfim, maravilhoso para crianças. ", maio de 2017
Mírcia Estela T,"Rio de Janeiro, RJ",Passeio agradável,"O parque é uma gracinha, alugamos uma bicicleta elétrica e demos uma bela volta em torno do lago. Meu filhote adorou. Pode ser feito com uma bela caminhada... Muito bom", abril de 2017
kekamoraes37,"São Sebastião, SP",passeio em famil,lugar enorme tem churrasqueiras restaurante as capivaras ficam as margem da lagoa ótimo para piquinique, dezembro de 2016
Lya Campozano,"Curitiba, PR",Parque Amor (como aprendi a chamá-lo),"Este parque conta com um espaço enorme, um lago com patos e capivaras. Ideal para pratica de esporte, caminhada, passeios e piqueniques... E o por-do-sol... Ah! Que pôr-do-sol, LINDO!! ;)", abril de 2017
Vilenilza C,"Fortaleza, Brasil",Um tour com amizade e beleza,"Lindo parque, integrado a cidade ou a cidade integrada a ele, espaço para todos desde ciclovia, via para patins e skates, pedestres, carros, restaurante, vários túneis lindos naturais. Um espaço para relaxar.", maio de 2017
DBEF,"Curitiba, PR","Barigui, O parque de Curitiba!","Um dos maiores e tradicionais parques de Curitiba. É um dos principais pontos de encontro da Cidade e, durante a semana, é muito comum as caminhadas em volta do lago. Apresenta muitas opções de lazer como equipamentos de ginástica, churrasqueiras, restaurante, canchas", abril de 2017
